№,Код,Полное название ОО,Короткое название ОО,уровень образовательной программы,АТЕ,МСУ,is_urban
488,261075,"Государственное бюджетное общеобразовательное учреждение ""Набережночелнинская школа №75 для детей с ограниченными возможностями здоровья""","ГБОУ ""Набережночелнинская школа №75""",3,26,26,1
489,261076,Муниципальное автономное общеобразовательное учреждение города Набережные Челны «Гимназия №76»,"МАОУ ""Гимназия №76""",3,26,26,1
490,261078,Муниципальное автономное общеобразовательное учреждение города Набережные Челны «Лицей №78 им. А.С. Пушкина»,"МАОУ ""Лицей №78 им. А.С. Пушкина""",3,26,26,1
491,261080,"Муниципальное бюджетное общеобразовательное учреждение ""Гимназия №14""","МБОУ ""Гимназия №14""",3,26,26,1
492,261081,"Государственное бюджетное общеобразовательное учреждение ""Кадетская школа полиции ""Калкан""","ГБОУ ""Кадетская школа полиции ""Калкан""",3,26,26,1
493,261082,"Государственное бюджетное общеобразовательное учреждение ""Кадетская школа №82 имени Героя Советского Союза Ильдара Маннанова""","ГБОУ ""Кадетская школа №82 им. И.Маннанова""",3,26,26,1
494,261083,"Негосударственное (частное)экспериментальное общеобразовательное учреждение ""Гимназия им.В.В.Давыдова""","Н(ч)ЭОУ ""Гимназия Давыдова""",3,26,26,1
495,261086,"Государственное бюджетное общеобразовательное учреждение ""Набережночелнинская школа "" Омет"" № 86 для детей с ограниченными возможностями здоровья ""","ГБОУ ""Набережночелнинская школа "" Омет"" № 86 для детей с ограниченными возможностями здоровья """,3,26,26,1
496,261087,"Государственное бюджетное общеобразовательное учреждение ""Набережночелнинская школа № 87 для детей с ограниченными возможностями здоровья""""","ГБОУ ""Набережночелнинская школа №87 для детей с ОВЗ""",3,26,26,1
497,263002,"Муниципальное бюджетное общеобразовательное учреждение ""Гимназия №2 имени Мулланура Вахитова""","МБОУ ""Гимназия №2 им.М.Вахитова""",3,26,26,1
498,263003,"Муниципальное бюджетное образовательное учреждение ""Средняя общеобразовательная школа №3""","МБОУ ""СОШ №3""",3,26,26,1
499,263004,Муниципальное автономное общеобразовательное учреждение города Набережные Челны «Средняя общеобразовательная школа №4»,"МАОУ ""СОШ №4""",3,26,26,1
500,263012,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №12""","МБОУ ""Средняя школа №12""",3,26,26,1
501,263018,Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа №18 с углубленным изучением отдельных предметов»,"МБОУ ""СОШ N18 с УИОП""",3,26,26,1
502,263029,"Муниципальное бюджетное общеобразовательное учреждение ""Гимназия №29""","МБОУ ""Гимназия №29""",3,26,26,1
503,263052,Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа №52» города Набережные Челны Республики Татарстан,"МБОУ ""СОШ №52""",3,26,26,1
504,263054,"муниципальное бюджетное общеобразовательное учреждение ""Гимназия №54""","МБОУ ""Гимназия № 54""",3,26,26,1
505,263058,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №58""","МБОУ ""Средняя школа №58""",3,26,26,1
506,263079,"Муниципальное бюджетное общеобразовательное учреждение ""Лицей-интернат №79""","МБОУ ""Лицей-интернат №79""",2,26,26,1
507,263084,"Муниципальное автономное общеобразовательное учреждение города Набережные Челны ""Лицей-интернат №84 имени Гали Акыша"" Республики Татарстан","МАОУ ""Лицей-интернат №84 имени Гали Акыша""",3,26,26,1
508,265001,"Муниципальное автономное общеобразовательное учреждение ""Гимназия №77""","МАОУ ""Гимназия №77""",3,26,26,1
509,265002,"Муниципальное бюджетное общеобразовательное учреждение ""Пушкинский пролицей №78""","МБОУ ""Пушкинский пролицей №78""",1,26,26,1
510,265003,Муниципальное бюджетное общеобразовательное учреждение «Профильный лицей №42»,"МБОУ ""Профильный лицей №42""",3,26,26,1
511,265004,Частное общеобразовательное учреждение «Средняя общеобразовательная школа «Веста»,"ЧОУ ""СОШ ""Веста""",3,26,26,1
512,265005,"Частное общеобразовательное учреждение ""Гимназия ""Умное поколение""","ЧОУ ""Гимназия ""Умное поколение""",1,26,26,1
513,265006,"Муниципальное бюджетное общеобразовательное учреждение ""Многопрофильная школа №39""","МБОУ ""Многопрофильная школа №39""",3,26,26,0
514,272001,"Муниципальное бюджетное общеобразовательное учреждение ""Стародрожжановская сош №1""","МБОУ ""Стародрожжановская сош №1""",3,27,27,0
515,272003,муниципальное бюджетное общеобразовательное учреждение 	 «Убеевская средняя общеобразовательная школа имени дважды Героя Социалистического Труда Дементьева Петра Васильевича» Дрожжановского муниципального района Республики Татарстан,"МБОУ ""Убеевская СОШ имени Дементьева П.В.""",3,27,27,0
516,272004,"Муниципальное бюджетное общеобразовательное учреждение ""Чувашско-Дрожжановская СОШ""","МБОУ ""Чувашско-Дрожжановская СОШ""",3,27,27,0
517,272005,"Муниципальное бюджетное общеобразовательное учреждение ""Хорновар-Шигалинская СОШ имени Героя Советского Союза Юхвитова П.С.""","МБОУ ""Хорновар-Шигалинская СОШ имени Героя Советского Союза Юхвитова П.С.""",3,27,27,0
518,272008,"Муниципальное бюджетное общеобразовательное учреждение ""Старошаймурзинская СОШ""","МБОУ ""Старошаймурзинская СОШ""",3,27,27,0
519,272009,"Муниципальное бюджетное общеобразовательное учреждение ""Новоильмовская средняя общеобразовательная школа"" Дрожжановского муниципального района Республики Татарстан","МБОУ ""Новоильмовская СОШ""",3,27,27,0
520,272010,"Муниципальное бюджетное общеобразовательное учреждение ""Нижнечекурская сош""","МБОУ ""Нижнечекурская сош""",3,27,27,0
521,272011,"Муниципальное бюджетное общеобразовательное учреждение ""Матакская сош имени Героя Советского Союза С.А.Уганина""","МБОУ ""Матакская сош имени Героя Советского Союза С.А.Уганина""",3,27,27,0
522,272014,"Муниципальное бюджетное общеобразовательное учреждение ""Городищенская СОШ имени Г.Т.Семенова""","МБОУ ""Городищенская СОШ имени Г.Т.Семенова""",3,27,27,0
523,272016,"Муниципальное бюджетное общеобразовательное учреждение ""Большеаксинская СОШ""","МБОУ ""Большеаксинская СОШ""",3,27,27,0
524,272017,"Муниципальное бюджетное общеобразовательное учреждение ""Алешкин-Саплыкская средняя общеобразовательная школа имени Дементьева Василия Степановича""","МБОУ ""Алешкин-Саплыкская СОШ имени Длементьева В.С.""",3,27,27,0
525,272020,"Муниципальное бюджетное общеобразовательное учреждение ""Стародрожжановский многопрофильный лицей""","МБОУ ""Стародрожжановский многопрофильный лицей""",3,27,27,0
526,272022,"Муниципальное бюджетное общеобразовательное учреждение ""Новоубеевская ООШ""","МБОУ ""Новоубеевская ООШ""",2,27,27,0
527,272026,"Муниципальное бюджетное общеобразовательное учреждение для детей дошкольного и младшего школьного возраста ""Новобурундуковская начальная школа-детский сад"" Дрожжановского муниципального района Республики Татарстан","МБОУ ""Новобурундуковская начальная школа-детский сад""",1,27,27,0
528,272030,"Муниципальное бюджетное общеобразовательное учреждение ""Стародувановская начальная школа-детский сад"" Дрожжановского муниципального района Республики Татарстан","МБОУ ""Стародувановская нш-дс""",1,27,27,0
529,272032,"Муниципальное бюджетное общеобразовательное учреждение для детей дошкольного и младшего школьного возраста ""Староильмовская начальная школа-детский сад"" Дрожжановского муниципального района Республики Татарстан","МБОУ ""Староильмовская начальная школа-детский сад""",1,27,27,0
530,272036,"Муниципальное бюджетное общеобразовательное учреждение ""Чувашско-Безднинская начальная школа-детский сад""","МБОУ ""Чувашско-Безднинская начальная школа-детский сад""",1,27,27,0
531,274002,"Муниципальное бюджетное общеобразовательное учреждение ""Шланговская СОШ""","МБОУ ""Шланговская СОШ""",3,27,27,0
532,274006,"Муниципальное бюджетное общеобразовательное учреждение ""Старочукалинская ООШ""","МБОУ ""Старочукалинская ООШ""",2,27,27,0
533,274007,"Муниципальное бюджетное общеобразовательное учреждение ""Старокакерлинская средняя общеобразовательная школа"" Дрожжановского муниципального района Республики Татарстан","МБОУ ""Старокакерлинская средняя общеобразовательная школа"" Дрожжановского муниципального района РТ",3,27,27,0
534,274012,"Муниципальное бюджетное общеобразовательное учреждение ""Малоцильнинская сош имени Арсланова З.М.""","МБОУ ""Малоцильнинская сош имени Арсланова З.М.""",3,27,27,0
